run,prompt_tokens,ttft_s,sdpa_routes,bounded_routes,first_bounded_chunk,logits_sha,argmax_token,top3_tokens,top3_logits,output_sha
OPTB-A-fresh-1,68034,359.68,256,0,None,dea05110998e2f42,760,1421|9764|760,21.875|22.25|24.125,a2286e7fc3c8aa26
OPTB-A-fresh-2,68034,358.516,256,0,None,dea05110998e2f42,760,1421|9764|760,21.875|22.25|24.125,a2286e7fc3c8aa26
OPTB-A-fresh-3,68034,357.977,256,0,None,dea05110998e2f42,760,1421|9764|760,21.875|22.25|24.125,a2286e7fc3c8aa26
OPTB-B-confirm-1,68034,353.623,256,144,8,5c5018291fe5116e,760,1421|9764|760,21.5|22.125|23.875,a2286e7fc3c8aa26
OPTB-C-fresh-1,68034,359.927,256,256,1,e572aae81d57b3c7,760,1421|9764|760,21.625|22.125|24.0,a2286e7fc3c8aa26
OPTB-C-fresh-2,68034,357.197,256,256,1,e572aae81d57b3c7,760,1421|9764|760,21.625|22.125|24.0,a2286e7fc3c8aa26
OPTB-C-fresh-3,68034,351.107,256,256,1,e572aae81d57b3c7,760,1421|9764|760,21.625|22.125|24.0,a2286e7fc3c8aa26
OPTB-C-warm-1,68034,344.627,256,256,1,e572aae81d57b3c7,760,1421|9764|760,21.625|22.125|24.0,a2286e7fc3c8aa26
OPTB-C-warmlarge-1,68034,344.761,256,256,1,e572aae81d57b3c7,760,1421|9764|760,21.625|22.125|24.0,a2286e7fc3c8aa26
FINAL-fresh-1,68034,368.84,256,256,1,e572aae81d57b3c7,760,1421|9764|760,21.625|22.125|24.0,a2286e7fc3c8aa26
FINAL-fresh-2,68034,355.825,256,256,1,e572aae81d57b3c7,760,1421|9764|760,21.625|22.125|24.0,a2286e7fc3c8aa26
FINAL-warm-1,68034,347.656,256,256,1,e572aae81d57b3c7,760,1421|9764|760,21.625|22.125|24.0,a2286e7fc3c8aa26
FINAL-warmlarge-1,68034,347.674,256,256,1,e572aae81d57b3c7,760,1421|9764|760,21.625|22.125|24.0,a2286e7fc3c8aa26
