pass_no,case,prompt_tokens,cached_tokens,latency_s,output_sha,completion_tokens
1,long,14133,1024,56.312,6d1d1481ff19d99d,24
2,long,14133,13824,2.314,6d1d1481ff19d99d,24
1,long_reason,14142,13824,2.803,f161bf5ca2789d64,48
2,long_reason,14142,13824,2.805,f161bf5ca2789d64,48
1,long_tailA,14132,13824,2.879,a5cb40128942a12a,24
2,long_tailA,14132,13824,2.312,a5cb40128942a12a,24
1,long_tailB,14135,13824,2.422,d7c7fb6ed9b86b5a,32
2,long_tailB,14135,13824,2.42,d7c7fb6ed9b86b5a,32
1,short,1199,0,5.985,ba77615995a3cd67,24
2,short,1199,1024,1.56,ba77615995a3cd67,24
1,short_tailA,1205,1024,1.472,e5030f440e5b54de,24
2,short_tailA,1205,1024,1.447,e5030f440e5b54de,24
1,short_tailB,1204,1024,1.442,f86930adeeeda658,24
2,short_tailB,1204,1024,1.447,f86930adeeeda658,24
