arm,task,turn,prompt_tokens,cached_tokens,uncached_tokens,output_tokens,cache_hit_pct,prefill_s,total_s,prefill_tps,decode_tps
dense,T1a,1,17906,17408,498,58,97.22,3.1001,4.2982,160.6,48.4
dense,T1b,1,17906,17408,498,69,97.22,2.9335,4.6259,169.8,40.8
dense,T2,1,17916,15872,2044,573,88.59,10.0486,23.8596,203.4,41.5
dense,T2,2,18512,17408,1104,317,94.04,5.887,13.0853,187.5,44.0
dense,T2,3,18855,18432,423,911,97.76,2.6961,25.989,156.9,39.1
dense,T2,4,19788,18432,1356,76,93.15,7.1461,8.9819,189.8,41.4
dense,T2,5,19887,19456,431,204,97.83,2.7224,7.8686,158.3,39.6
dense,T4,1,17950,13312,4638,211,74.16,21.7295,25.6395,213.4,54.0
dense,T4,2,19402,17920,1482,1644,92.36,7.6919,46.8007,192.7,42.0
dense,T4,3,21103,18944,2159,12377,89.77,11.0028,346.0235,196.2,36.9
dense,T4,4,33914,20992,12922,457,61.9,66.137,76.7637,195.4,43.0
dense,T4,5,34406,33792,614,529,98.22,4.213,19.3984,145.7,34.8
dense,T4,6,34974,34304,670,106,98.08,4.5278,7.1317,148.0,40.7
dense,T4,7,35767,34816,951,89,97.34,5.9701,8.0582,159.3,42.6
dense,T4,8,35907,35328,579,166,98.39,4.1969,9.2406,138.0,32.9
dense,T4,9,38192,35840,2352,1318,93.84,13.8024,48.3339,170.4,38.2
dense,T4,10,39637,37888,1749,1186,95.59,10.6555,44.3087,164.1,35.2
dense,T4,11,41371,39424,1947,2735,95.29,11.8008,92.9302,165.0,33.7
dense,T4,12,44181,40960,3221,285,92.71,19.4283,27.4048,165.8,35.7
dense,T4,13,44634,44032,602,1355,98.65,4.5686,47.1553,131.8,31.8
dense,T4,14,46097,44544,1553,181,96.63,10.1661,14.9002,152.8,38.2
dense,T4,15,46865,46080,785,247,98.32,5.6159,12.3379,139.8,36.7
dense,T4,16,47484,46592,892,2416,98.12,6.2282,81.8575,143.2,31.9
dense,T4,17,49920,47104,2816,206,94.36,17.5808,24.1816,160.2,31.2
dense,T4,18,50239,49664,575,114,98.86,4.5723,7.3609,125.8,40.9
dense,T4,19,50445,50176,269,228,99.47,2.7204,9.0793,98.9,35.9
dense,T4,20,50842,50176,666,730,98.69,5.1749,27.6879,128.7,32.4
dense,T4,21,51606,50688,918,83,98.22,6.5614,8.6326,139.9,40.1
dense,T4,22,51808,51200,608,414,98.83,4.958,16.8283,122.6,34.9
dense,T4,23,52245,51712,533,234,98.98,4.6506,11.0216,114.6,36.7
dense,T4,24,52503,52224,279,290,99.47,2.9659,11.6122,94.1,33.5
dense,T5,1,17920,15872,2048,77,88.57,10.0566,11.4343,203.6,55.9
dense,T5,2,18015,17408,607,107,96.63,3.4452,6.4631,176.2,35.5
dense,T5,3,19363,17920,1443,221,92.55,7.4775,12.8594,193.0,41.1
dense,T5,4,19613,18944,669,166,96.59,3.8862,8.2307,172.1,38.2
dense,T5,5,19805,19456,349,57,98.24,2.3102,3.3326,151.1,55.8
dense,T5,6,19880,19456,424,144,97.87,2.7123,6.7895,156.3,35.3
dense,T5,7,20210,19456,754,153,96.27,4.2274,7.4832,178.4,47.0
dense,T5,8,20398,19968,430,239,97.89,2.7343,8.5572,157.3,41.0
dense,T5,9,28634,19968,8666,169,69.74,43.4516,47.3487,199.4,43.4
dense,T5,10,28849,28160,689,90,97.61,4.3007,6.3625,160.2,43.7
dense,T5,11,28973,28672,301,145,98.96,2.4146,5.628,124.7,45.1
ane_plus_sparse,T1a,1,17906,17408,498,123,97.22,2.9624,5.9754,168.1,40.8
ane_plus_sparse,T1b,1,17906,17408,498,39,97.22,2.9377,3.707,169.5,50.7
ane_plus_sparse,T2,1,17916,17408,508,93,97.16,3.0199,5.3337,168.2,40.2
ane_plus_sparse,T2,2,18032,17920,112,892,99.38,1.2319,23.5615,90.9,39.9
ane_plus_sparse,T2,3,18950,17920,1030,81,94.56,5.5857,7.3325,184.4,46.4
ane_plus_sparse,T2,4,19053,18944,109,175,99.43,1.2217,5.4827,89.2,41.1
ane_plus_sparse,T2,5,19251,18944,307,219,98.41,2.1458,7.2814,143.1,42.6
ane_plus_sparse,T4,1,17950,17920,30,153,99.83,0.9981,5.053,30.1,37.7
ane_plus_sparse,T4,2,19344,17920,1424,1071,92.64,7.3427,31.5221,193.9,44.3
ane_plus_sparse,T4,3,20472,18944,1528,4760,92.54,7.8914,127.9598,193.6,39.6
ane_plus_sparse,T4,4,26600,19968,6632,136,75.07,33.182,35.9981,199.9,48.3
ane_plus_sparse,T4,5,28855,26112,2743,2672,90.49,14.6708,86.1758,187.0,37.4
ane_plus_sparse,T4,6,32147,28672,3475,272,89.19,18.796,24.8671,184.9,44.8
ane_plus_sparse,T4,7,34875,31744,3131,3030,91.02,17.5091,100.0892,178.8,36.7
ane_plus_sparse,T4,8,38025,34816,3209,355,91.56,18.5066,28.2794,173.4,36.3
ane_plus_sparse,T4,9,39449,37888,1561,1097,96.04,9.6267,40.4025,162.2,35.6
ane_plus_sparse,T4,10,42204,39424,2780,367,93.41,16.8036,26.2014,165.4,39.1
ane_plus_sparse,T4,11,42604,41984,620,245,98.54,4.5787,10.9562,135.4,38.4
ane_plus_sparse,T4,12,42904,42496,408,2272,99.05,3.2444,73.8146,125.8,32.2
ane_plus_sparse,T4,13,46043,42496,3547,12627,92.3,21.7437,369.7914,163.1,36.3
ane_plus_sparse,T4,14,59146,45568,13578,308,77.04,16.6581,24.393,815.1,39.8
ane_plus_sparse,T4,15,60805,45568,15237,376,74.94,18.7356,30.3704,813.3,32.3
ane_plus_sparse,T4,16,61296,45568,15728,600,74.34,19.8022,35.4044,794.3,38.5
ane_plus_sparse,T4,17,61916,45568,16348,128,73.6,20.43,23.6958,800.2,39.2
ane_plus_sparse,T4,18,62202,45568,16634,858,73.26,20.5594,45.3917,809.1,34.6
ane_plus_sparse,T4,19,63099,45568,17531,2758,72.22,21.6649,98.2659,809.2,36.0
ane_plus_sparse,T4,20,66544,45568,20976,368,68.48,24.2415,34.1089,865.3,37.3
ane_plus_sparse,T4,21,66984,45568,21416,372,68.03,24.908,35.2786,859.8,35.9
ane_plus_sparse,T4,22,67586,45568,22018,511,67.42,25.3661,39.5441,868.0,36.0
ane_plus_sparse,T4,23,68148,45568,22580,1821,66.87,26.4,81.1092,855.3,33.3
ane_plus_sparse,T4,24,70084,45568,24516,326,65.02,28.9234,37.6298,847.6,37.4
ane_plus_sparse,T4,25,70615,45568,25047,413,64.53,29.5884,41.194,846.5,35.6
ane_plus_sparse,T4,26,71062,45568,25494,827,64.12,30.3501,55.9617,840.0,32.3
ane_plus_sparse,T4,27,72196,45568,26628,407,63.12,32.0854,43.4263,829.9,35.9
ane_plus_sparse,T5,1,17920,17408,512,69,97.14,3.0707,4.5397,166.7,47.0
ane_plus_sparse,T5,2,18007,17920,87,115,99.52,1.1045,4.1383,78.8,37.9
ane_plus_sparse,T5,3,19363,17920,1443,255,92.55,7.5102,13.5347,192.1,42.3
ane_plus_sparse,T5,4,19647,18944,703,77,96.42,3.9888,5.6243,176.2,47.1
ane_plus_sparse,T5,5,19750,19456,294,72,98.51,2.1629,3.8011,135.9,44.0
ane_plus_sparse,T5,6,19840,19456,384,299,98.06,2.4422,10.3918,157.2,37.6
ane_plus_sparse,T5,7,20325,19456,869,193,95.72,5.1598,9.2967,168.4,46.7
ane_plus_sparse,T5,8,20553,19968,585,593,97.15,3.5501,16.4372,164.8,46.0
ane_plus_sparse,T5,9,29354,20480,8874,1106,69.77,9.3032,36.3943,953.9,40.8
ane_plus_sparse,T5,10,30706,20480,10226,691,66.7,9.7594,25.4918,1047.8,43.9
ane_plus_sparse,T5,11,31431,20480,10951,414,65.16,10.7017,21.9751,1023.3,36.7
