seq,clock,cached_tokens,uncached_suffix,phase
1,00:39:37,28672,4473,healthy
2,00:39:59,28672,4623,healthy
3,00:40:23,32768,702,advancing
4,00:40:30,32768,896,advancing
5,00:40:40,33792,176,advancing
6,00:40:50,33792,1591,advancing
7,00:42:00,36864,933,advancing
8,00:42:10,37888,236,peak
9,00:42:19,37888,566,peak
10,00:42:25,37888,6902,peak
11,00:43:07,28672,17060,cliff
12,00:43:30,28672,17957,latched
13,00:43:55,28672,18554,latched
14,00:44:26,28672,19213,latched
15,00:44:54,28672,19692,latched
16,00:46:42,28672,23562,latched
17,00:47:14,28672,29762,latched
18,00:48:33,28672,31818,latched
19,00:49:48,28672,33584,latched
20,00:50:51,28672,33979,latched
