finish,tokens,cycles,accepted,drafted,accept_rate,spec_tokens,tok_per_cycle,spec_share,zero_cycles,backbone_ms,head_ms,sample_ms,cache_ops_ms,spec_ms_per_cycle,d1_accepted,d1_drafted,d2_accepted,d2_drafted,d3_accepted,d3_drafted
length,16,8,8,9,0.889,16,2.0,1.0,3,372.0,7.3,0.1,0.3,47.4625,4,5,3,3,1,1
length,16,8,8,9,0.889,16,2.0,1.0,3,372.0,7.3,0.1,0.3,47.4625,4,5,3,3,1,1
length,16,7,7,9,0.778,14,2.0,0.875,3,317.5,4.4,0.1,0.3,46.0429,3,4,2,3,2,2
length,16,7,7,9,0.778,14,2.0,0.875,3,317.5,4.4,0.1,0.3,46.0429,3,4,2,3,2,2
length,8,2,4,5,0.8,6,3.0,0.75,,135.1,7.0,0.0,0.1,71.1,2,2,1,2,1,1
length,8,2,4,5,0.8,6,3.0,0.75,,135.1,7.0,0.0,0.1,71.1,2,2,1,2,1,1
length,8,3,3,6,0.5,6,2.0,0.75,,162.2,4.5,0.0,0.4,55.7,3,3,0,3,0,0
length,8,3,3,6,0.5,6,2.0,0.75,,162.2,4.5,0.0,0.4,55.7,3,3,0,3,0,0
length,8,2,4,5,0.8,6,3.0,0.75,,128.7,5.0,0.0,0.2,66.95,2,2,1,2,1,1
length,8,2,4,5,0.8,6,3.0,0.75,,128.7,5.0,0.0,0.2,66.95,2,2,1,2,1,1
length,8,2,4,5,0.8,6,3.0,0.75,,115.0,4.0,0.0,0.1,59.55,2,2,1,2,1,1
length,8,2,4,5,0.8,6,3.0,0.75,,115.0,4.0,0.0,0.1,59.55,2,2,1,2,1,1
length,12,3,8,8,1.0,11,3.6667,0.9167,,162.5,2.5,0.1,0.1,55.0667,3,3,3,3,2,2
stop,335,127,207,257,0.805,334,2.6299,0.997,3,7407.0,211.9,1.1,6.9,60.0543,111,124,77,107,19,26
stop,160,70,90,120,0.75,160,2.2857,1.0,3,4078.1,115.2,0.7,8.0,60.0286,47,67,38,47,5,6
stop,96,40,55,76,0.7240000000000001,95,2.375,0.9896,3,2398.7,124.4,0.6,3.0,63.1675,24,37,19,24,12,15
stop,194,82,111,147,0.755,193,2.3537,0.9948,3,4509.5,81.9,1.1,10.6,56.1354,65,79,44,64,2,4
