run_id,model,policy,content,context,repeat,prompt_tokens,output_tokens,ttft_s,decode_s,decode_time_source,e2e_s,decode_ms_per_token,cycles,accepted,drafted,accept_rate,spec_tokens,spec_share,tok_per_cycle,zero_cycles,backbone_ms,head_ms,sample_ms,cache_ops_ms,backbone_ms_per_cycle,spec_ms_per_cycle,depth_drafted,depth_accepted,output_sha256,mtp_source,server_git_sha,settings_hash,notes
exp-002/adaptive/code/long/r0/9c57a507,Qwen3.6-35B-A3B-oQ6,adaptive,code,long,0,13619,256,9.8715,2.7064,client,12.5783,10.6134,138,116,181,0.6409,254,0.9922,1.8406,3,2602.32,99.31,2.89,21.98,18.8574,19.7572,135|44|2,86|28|2,de16d449196caadedbc6dc69692d2f70e77439de138bdbdfff76c8d440e0a62f,usage,090c1c51ed0dae2857b11a034f64b33890d3fda0,9c57a5070c8dc99f,repeat=0; group_wall_s=12.5783
exp-002/adaptive/code/long/r1/9c57a507,Qwen3.6-35B-A3B-oQ6,adaptive,code,long,1,13619,256,10.0271,2.6427,client,12.6701,10.3637,151,103,159,0.6478,254,0.9922,1.6821,3,2625.2,71.45,2.78,23.0,17.3854,18.0293,148|11|0,99|4|0,4fd49886327f58d5e27ee50f4e14662a99ee62102627213cc195d67926405c96,usage,090c1c51ed0dae2857b11a034f64b33890d3fda0,9c57a5070c8dc99f,repeat=1; group_wall_s=12.6701
exp-002/dense/code/long/r0/2abb79cc,Qwen3.6-35B-A3B-oQ6,dense,code,long,0,13619,256,9.295,2.7594,client,12.0549,10.8213,,,,,,,,,,,,,,,,,efd38041cbc743e62b473818df89c8b1234b355a007d2703508304accf24d2f2,,090c1c51ed0dae2857b11a034f64b33890d3fda0,2abb79cc34708e43,repeat=0; server_env=OMLX_MTP_FIXED_DEPTH=3; group_wall_s=12.0549
exp-002/dense/code/long/r1/2abb79cc,Qwen3.6-35B-A3B-oQ6,dense,code,long,1,13619,256,9.304,2.7385,client,12.0428,10.7392,,,,,,,,,,,,,,,,,e04f3b2ee1efb410165ffbe80cc8d36557d13a5867a9e2206c07cfaf678c33bc,,090c1c51ed0dae2857b11a034f64b33890d3fda0,2abb79cc34708e43,repeat=1; server_env=OMLX_MTP_FIXED_DEPTH=3; group_wall_s=12.0428
exp-002/fixed3/code/long/r0/9c57a507,Qwen3.6-35B-A3B-oQ6,fixed-3,code,long,0,13619,256,9.8934,3.166,client,13.06,12.4157,122,132,240,0.55,254,0.9922,2.082,0,2867.08,304.25,2.04,19.89,23.5007,26.1743,122|74|44,74|44|14,f1240fb2a1f8c8961dee9cbb3ca74345d3eb6524993c14d80021ec45e089644a,usage,090c1c51ed0dae2857b11a034f64b33890d3fda0,9c57a5070c8dc99f,repeat=0; server_env=OMLX_MTP_FIXED_DEPTH=3; group_wall_s=13.0600
exp-002/fixed3/code/long/r1/9c57a507,Qwen3.6-35B-A3B-oQ6,fixed-3,code,long,1,13619,256,9.9645,3.1635,client,13.1284,12.406,124,130,241,0.5394,254,0.9922,2.0484,0,2906.33,310.69,2.26,20.83,23.4381,26.1299,124|76|41,76|41|13,8c548051c0c9ce2a90cae6bfb32448cf7f4596b328b8f16a97172b94bd697757,usage,090c1c51ed0dae2857b11a034f64b33890d3fda0,9c57a5070c8dc99f,repeat=1; server_env=OMLX_MTP_FIXED_DEPTH=3; group_wall_s=13.1284
exp-002/adaptive/code/short/r0/9c57a507,Qwen3.6-35B-A3B-oQ6,adaptive,code,short,0,3003,256,2.1024,2.4618,client,4.5645,9.6541,146,108,174,0.6207,254,0.9922,1.7397,3,2430.11,79.29,2.56,22.15,16.6446,17.3569,143|31|0,94|14|0,5a54388c20166d9acf2266a9ce9bea71a1dc6c1f50da008d9de2cf0b98829600,usage,090c1c51ed0dae2857b11a034f64b33890d3fda0,9c57a5070c8dc99f,repeat=0; group_wall_s=4.5645
exp-002/adaptive/code/short/r1/9c57a507,Qwen3.6-35B-A3B-oQ6,adaptive,code,short,1,3003,256,2.1124,2.5352,client,4.648,9.942,153,101,174,0.5805,254,0.9922,1.6601,3,2516.38,78.88,2.83,23.5,16.4469,17.1346,150|24|0,89|12|0,a7346a045c265b6c9ef350ee57166051964004d8ad3fa9ae5ed8984e0830c952,usage,090c1c51ed0dae2857b11a034f64b33890d3fda0,9c57a5070c8dc99f,repeat=1; group_wall_s=4.6480
exp-002/dense/code/short/r0/2abb79cc,Qwen3.6-35B-A3B-oQ6,dense,code,short,0,3003,256,1.9708,2.5022,client,4.4733,9.8126,,,,,,,,,,,,,,,,,a477dc0fd6d6fd83ef4b7566c5483743eee8dedde7628fa4902c30b1e00e9fca,,090c1c51ed0dae2857b11a034f64b33890d3fda0,2abb79cc34708e43,repeat=0; server_env=OMLX_MTP_FIXED_DEPTH=3; group_wall_s=4.4734
exp-002/densectl/code/short/r0/2abb79cc,Qwen3.6-35B-A3B-oQ6,dense,code,short,0,3003,256,2.0582,2.4726,client,4.5312,9.6966,,,,,,,,,,,,,,,,,67941b3b9f56c7dd008d1dc4768c2c4e209bcbd013a8208a27affed5c6d643e6,,090c1c51ed0dae2857b11a034f64b33890d3fda0,2abb79cc34708e43,repeat=0; group_wall_s=4.5312
