arm,kind,turn,prompt_tokens,cached_tokens,uncached_suffix,ttft_s,prefill_s,decode_s,decode_tps,output_tokens,wall_s,output_sha,shadow_committed_tokens,shadow_target_tokens,shadow_service_s,shadow_service_share,shadow_runnable_steps,shadow_scheduled_steps,shadow_yielded_steps,shadow_publishes,shadow_chunks,shadow_canonical_debt_tokens
dense,turn,0,16428,0,16428,67.789,66.4,0,,24,67.789,ea4e50ce6feb7ca7,,,,,,,,,,
dense,turn,1,32722,16384,16338,76.713,75.58,0,,24,76.714,ea4e50ce6feb7ca7,,,,,,,,,,
dense,turn,2,48940,36864,12076,105.908,104.7,0,,24,105.909,96bd0d2118fd5cd6,,,,,,,,,,
dense,turn,3,65256,49152,16104,117.413,116.13,0,,24,117.414,e0a9503787687a68,,,,,,,,,,
dense,turn,4,81610,69632,11978,134.195,132.81,0,,24,134.197,f27e1e9a37470b40,,,,,,,,,,
dense,dense-probe,4,81610,77824,3786,28.497,27.12,0,,24,28.497,f27e1e9a37470b40,,,,,,,,,,
spec,turn,0,16428,0,16428,16.114,14.85,0,,24,16.115,e941415744ef39c5,,,,,,,,,,
spec,turn,1,32722,0,32722,31.463,30.45,0,,24,31.464,e941415744ef39c5,,,,,,,,,,
spec,turn,2,48940,0,48940,48.321,47.28,0,,24,48.322,e941415744ef39c5,,,,,,,,,,
spec,turn,3,65256,0,65256,66.707,65.62,0,,24,66.708,e941415744ef39c5,,,,,,,,,,
spec,turn,4,81610,0,81610,86.63,85.5,0,,24,86.631,e941415744ef39c5,,,,,,,,,,
spec,dense-probe,4,81610,36864,44746,434.272,432.88,0,,24,434.275,403941b79b224970,,,,,,,,,,
recovery-end,turn,0,16428,0,16428,16.129,14.86,0,,24,16.13,e941415744ef39c5,0,16384,0.0,0.0,2,0,0,0,0,16428
recovery-end,turn,1,32722,0,32722,31.486,30.47,0,,24,31.487,e941415744ef39c5,0,28672,15.695047,0.186713,10,1,1,0,1,32722
recovery-end,turn,2,48940,0,48940,48.34,47.29,0,,24,48.338,e941415744ef39c5,0,45056,15.695047,0.093752,18,1,2,0,1,48940
recovery-end,turn,3,65256,0,65256,66.731,65.64,0,,24,66.731,e941415744ef39c5,0,61440,15.695047,0.058314,26,1,3,0,1,65256
recovery-end,turn,4,81610,0,81610,86.649,85.52,0,,24,86.65,e941415744ef39c5,0,77824,15.695047,0.040161,34,1,4,0,1,81610
recovery-end,dense-probe,4,81610,36864,44746,434.287,432.91,0,,24,434.289,403941b79b224970,0,77824,31.906347,0.037097,40,2,5,0,2,81610
pcsr,turn,0,16428,0,16428,16.122,14.85,0,,24,16.122,e941415744ef39c5,0,16384,0.0,0.0,2,0,0,0,0,16428
pcsr,turn,1,32722,4096,28626,28.15,27.13,0,,24,28.15,8c048521bbc196be,4096,28672,15.700295,0.193838,10,1,1,1,1,28626
pcsr,turn,2,48940,4096,44844,45.207,44.15,0,,24,45.182,e941415744ef39c5,4096,45056,15.700295,0.097392,18,1,2,1,1,44844
pcsr,turn,3,65256,4096,61160,63.689,62.58,0,,24,63.689,8c048521bbc196be,4096,61440,15.700295,0.060408,26,1,3,1,1,61160
pcsr,turn,4,81610,4096,77514,83.452,82.33,0,,24,83.453,ea4e50ce6feb7ca7,4096,77824,15.700295,0.041495,34,1,4,1,1,77514
pcsr,dense-probe,4,81610,36864,44746,418.639,417.26,0,,24,418.639,403941b79b224970,4096,77824,31.912672,0.038356,40,2,5,1,2,77514
