arm,kind,turn,prompt_tokens,cached_tokens,uncached_suffix,ttft_s,prefill_s,decode_s,decode_tps,output_tokens,wall_s,output_sha,shadow_committed_tokens,shadow_target_tokens,shadow_service_s,shadow_service_share,shadow_runnable_steps,shadow_scheduled_steps,shadow_yielded_steps,shadow_publishes,shadow_chunks,shadow_canonical_debt_tokens
dense,turn,0,8275,0,8275,33.953,32.64,0,,24,33.954,ea4e50ce6feb7ca7,,,,,,,,,,
dense,turn,1,16409,8192,8217,35.394,34.36,0,,24,35.395,ea4e50ce6feb7ca7,,,,,,,,,,
dense,turn,2,24584,16384,8200,37.659,36.58,0,,24,37.659,ea4e50ce6feb7ca7,,,,,,,,,,
dense,dense-probe,2,24584,24576,8,1.461,0.39,0,,24,1.462,ea4e50ce6feb7ca7,,,,,,,,,,
spec,turn,0,8275,0,8275,8.733,7.48,0,,24,8.734,8c048521bbc196be,,,,,,,,,,
spec,turn,1,16409,0,16409,15.76,14.8,0,,24,15.76,ea4e50ce6feb7ca7,,,,,,,,,,
spec,turn,2,24584,0,24584,23.44,22.45,0,,24,23.441,e941415744ef39c5,,,,,,,,,,
spec,dense-probe,2,24584,0,24584,103.495,102.42,0,,24,103.496,ea4e50ce6feb7ca7,,,,,,,,,,
shadow-end,turn,0,8275,0,8275,8.751,7.49,0,,24,8.75,8c048521bbc196be,0,8192,0.0,0.0,2,0,0,0,0,8275
shadow-end,turn,1,16409,0,16409,15.774,14.81,0,,24,15.774,ea4e50ce6feb7ca7,4096,16384,47.610789,0.410838,10,3,1,1,3,12313
shadow-end,turn,2,24584,0,24584,23.479,22.49,0,,24,23.48,e941415744ef39c5,4096,24576,129.679633,0.565365,21,8,1,1,8,20488
shadow-end,dense-probe,2,24584,0,24584,116.065,115.03,0,,24,116.066,ea4e50ce6feb7ca7,4096,24576,231.751171,0.532214,32,14,1,1,14,20488
pass,turn,0,8275,0,8275,8.753,7.49,0,,24,8.754,8c048521bbc196be,0,8192,0.0,0.0,2,0,0,0,0,8275
pass,turn,1,16409,0,16409,15.761,14.81,0,,24,15.762,ea4e50ce6feb7ca7,4096,16384,47.604102,0.410835,10,3,1,1,3,12313
pass,turn,2,24584,0,24584,23.488,22.51,0,,24,23.489,e941415744ef39c5,12288,24576,129.677901,0.565371,21,8,1,3,8,12296
pass,dense-probe,2,24584,0,24584,115.783,114.75,0,,24,115.784,ea4e50ce6feb7ca7,20480,24576,231.742822,0.532545,32,14,1,5,14,12296
