cell,budget_pct,idle_s,threshold,head,append,arm,kind,turn,prompt_tokens,cached_tokens,uncached_suffix,ttft_s,prefill_s,decode_s,decode_tps,output_tokens,wall_s,output_sha,shadow_committed_tokens,shadow_target_tokens,shadow_service_s,shadow_service_share,shadow_runnable_steps,shadow_scheduled_steps,shadow_yielded_steps,shadow_publishes,shadow_chunks,shadow_canonical_debt_tokens,canonical_prefix_tokens,canonical_prefix_source,canonical_debt_tokens,uncached_tail_tokens,debt_delta_tokens,catch_up_ratio,route,route_source,route_disagrees,route_cached_tokens,route_tail_tokens,cached_tokens_source
exit-always-sparse,100.0,75.0,1,24000,3000,spec,turn,0,24567,0,24567,23.803,22.5,0,,24,23.804,ea4e50ce6feb7ca7,,,,,,,,,,,0,restore,24567,24567,3082,0.0,SPECPREFILL,recorded,False,0,24567,recorded
exit-always-sparse,100.0,75.0,1,24000,3000,spec,turn,1,27649,0,27649,26.276,25.27,0,,24,26.277,e941415744ef39c5,,,,,,,,,,,0,restore,27649,27649,3057,0.0,SPECPREFILL,recorded,False,0,27649,recorded
exit-always-sparse,100.0,75.0,1,24000,3000,spec,turn,2,30706,0,30706,29.373,28.38,0,,24,29.374,8c048521bbc196be,,,,,,,,,,,0,restore,30706,30706,3091,0.0,SPECPREFILL,recorded,False,0,30706,recorded
exit-always-sparse,100.0,75.0,1,24000,3000,spec,turn,3,33797,0,33797,32.567,31.55,0,,24,32.568,8c048521bbc196be,,,,,,,,,,,0,restore,33797,33797,3068,0.0,SPECPREFILL,recorded,False,0,33797,recorded
exit-always-sparse,100.0,75.0,1,24000,3000,spec,turn,4,36865,0,36865,35.534,34.52,0,,24,35.535,e941415744ef39c5,,,,,,,,,,,0,restore,36865,36865,3105,0.0,SPECPREFILL,recorded,False,0,36865,recorded
exit-always-sparse,100.0,75.0,1,24000,3000,spec,turn,5,39970,0,39970,38.672,37.66,0,,24,38.673,e941415744ef39c5,,,,,,,,,,,0,restore,39970,39970,3095,0.0,SPECPREFILL,recorded,False,0,39970,recorded
exit-always-sparse,100.0,75.0,1,24000,3000,spec,turn,6,43065,0,43065,42.148,41.12,0,,24,42.149,e941415744ef39c5,,,,,,,,,,,0,restore,43065,43065,,,SPECPREFILL,recorded,False,0,43065,recorded
exit-always-sparse,100.0,75.0,1,24000,3000,spec,dense-probe,6,43065,36864,6201,195.171,194.0,0,,24,195.174,ea4e50ce6feb7ca7,,,,,,,,,,,,,,,,,,,,,,
exit-always-sparse,100.0,75.0,1,24000,3000,pcsr,turn,0,24567,0,24567,23.832,22.5,0,,24,23.833,e941415744ef39c5,0,20481,0.0,0.0,2,0,0,0,0,24567,0,equal,24567,24567,-17398,6.645035691109669,SPECPREFILL,recorded,False,0,24567,recorded
exit-always-sparse,100.0,75.0,1,24000,3000,pcsr,turn,1,27649,20480,7169,17.305,16.26,0,,24,17.305,e941415744ef39c5,20480,24577,83.871824,0.714254,13,5,0,5,5,7169,20480,equal,7169,7169,-1039,1.3398756951259405,SPECPREFILL,recorded,False,20480,7169,recorded
exit-always-sparse,100.0,75.0,1,24000,3000,pcsr,turn,2,30706,24576,6130,7.725,6.63,0,,24,7.726,e941415744ef39c5,24576,28673,102.39997,0.511611,16,6,0,6,6,6130,24576,equal,6130,6130,-1005,1.3251374959560014,SPECPREFILL,recorded,False,24576,6130,recorded
exit-always-sparse,100.0,75.0,1,24000,3000,pcsr,turn,3,33797,28672,5125,6.924,5.82,0,,24,6.925,d1ad753f49edb745,28672,32769,121.505087,0.430737,19,7,0,7,7,5125,28672,equal,5125,5125,-1028,1.3350717079530638,SPECPREFILL,recorded,False,28672,5125,recorded
exit-always-sparse,100.0,75.0,1,24000,3000,pcsr,turn,4,36865,32768,4097,5.763,4.65,0,,24,5.764,ea4e50ce6feb7ca7,32768,36865,141.176403,0.389067,22,8,0,8,8,4097,32768,equal,4097,4097,3105,0.0,SPECPREFILL,recorded,False,32768,4097,recorded
exit-always-sparse,100.0,75.0,1,24000,3000,pcsr,turn,5,39970,32768,7202,9.171,8.06,0,,24,9.171,a9b4108cf3f58fa7,0,36865,161.433133,0.36112,25,9,0,9,9,3106,32768,restore,7202,7202,-1001,1.3234248788368337,SPECPREFILL,recorded,False,32768,7202,recorded
exit-always-sparse,100.0,75.0,1,24000,3000,pcsr,turn,6,43065,36864,6201,8.338,7.2,0,,24,8.338,e941415744ef39c5,36864,40961,181.688625,0.342564,28,10,0,10,10,6201,36864,equal,6201,6201,,,SPECPREFILL,recorded,False,36864,6201,recorded
exit-always-sparse,100.0,75.0,1,24000,3000,pcsr,dense-probe,6,43065,40960,2105,12.323,11.16,0,,24,12.324,ea4e50ce6feb7ca7,40960,40961,202.511435,0.327841,29,11,0,11,11,6201,,,,,,,,,,,,
