cell,budget_pct,idle_s,threshold,head,append,arm,kind,turn,prompt_tokens,cached_tokens,uncached_suffix,ttft_s,prefill_s,decode_s,decode_tps,output_tokens,wall_s,output_sha,shadow_committed_tokens,shadow_target_tokens,shadow_service_s,shadow_service_share,shadow_runnable_steps,shadow_scheduled_steps,shadow_yielded_steps,shadow_publishes,shadow_chunks,shadow_canonical_debt_tokens,canonical_prefix_tokens,canonical_prefix_source,canonical_debt_tokens,uncached_tail_tokens,debt_delta_tokens,catch_up_ratio,route,route_source,route_disagrees,route_cached_tokens,route_tail_tokens,cached_tokens_source
exit-b5,5.0,75.0,8192,24000,3000,pcsr,turn,0,24567,0,24567,23.797,22.5,0,,24,23.797,e941415744ef39c5,0,20481,0.0,0.0,2,0,0,0,0,24567,0,equal,24567,24567,-5110,2.6580142764438675,SPECPREFILL,recorded,False,0,24567,recorded
exit-b5,5.0,75.0,8192,24000,3000,pcsr,turn,1,27649,8192,19457,19.559,18.54,0,,24,19.559,8c048521bbc196be,8192,24577,32.178716,0.268148,823,2,1,2,2,19457,8192,equal,19457,19457,-5135,2.679751390251881,SPECPREFILL,recorded,False,8192,19457,recorded
exit-b5,5.0,75.0,8192,24000,3000,pcsr,turn,2,30706,16384,14322,17.737,16.72,0,,24,17.738,e941415744ef39c5,16384,28673,66.415474,0.312183,1649,4,2,4,4,14322,16384,equal,14322,14322,-1005,1.3251374959560014,SPECPREFILL,recorded,False,16384,14322,recorded
exit-b5,5.0,75.0,8192,24000,3000,pcsr,turn,3,33797,20480,13317,14.9,13.81,0,,24,14.901,8c048521bbc196be,20480,32769,84.415117,0.27892,2737,5,3,5,5,13317,20480,equal,13317,13317,-5124,2.6701434159061277,SPECPREFILL,recorded,False,20480,13317,recorded
exit-b5,5.0,75.0,8192,24000,3000,pcsr,turn,4,36865,28672,8193,11.391,10.32,0,,24,11.392,ea4e50ce6feb7ca7,28672,36865,122.227687,0.314173,3478,7,4,7,7,8193,28672,equal,8193,8193,-991,1.3191626409017714,SPECPREFILL,recorded,False,28672,8193,recorded
exit-b5,5.0,75.0,8192,24000,3000,pcsr,turn,5,39970,36864,3106,37.605,36.45,0,,24,37.605,ea4e50ce6feb7ca7,32768,36865,142.068928,0.283198,4529,8,5,8,8,8193,32768,equal,7202,7202,-1001,1.3234248788368337,DENSE,recorded,False,32768,7202,recorded
exit-b5,5.0,75.0,8192,24000,3000,pcsr,turn,6,43065,40960,2105,33.126,31.95,0,,24,33.127,ea4e50ce6feb7ca7,36864,36865,162.353434,0.266243,4534,9,6,9,9,8193,36864,equal,6201,6201,,,DENSE,recorded,False,36864,6201,recorded
exit-b10,10.0,75.0,8192,24000,3000,pcsr,turn,0,24567,0,24567,23.808,22.5,0,,24,23.809,e941415744ef39c5,0,20481,0.0,0.0,2,0,0,0,0,24567,0,equal,24567,24567,-5110,2.6580142764438675,SPECPREFILL,recorded,False,0,24567,recorded
exit-b10,10.0,75.0,8192,24000,3000,pcsr,turn,1,27649,8192,19457,19.569,18.54,0,,24,19.569,8c048521bbc196be,8192,24577,32.177262,0.26875,821,2,1,2,2,19457,8192,equal,19457,19457,-5135,2.679751390251881,SPECPREFILL,recorded,False,8192,19457,recorded
exit-b10,10.0,75.0,8192,24000,3000,pcsr,turn,2,30706,16384,14322,18.009,16.99,0,,24,18.009,e941415744ef39c5,16384,28673,66.43703,0.312285,1651,4,2,4,4,14322,16384,equal,14322,14322,-1005,1.3251374959560014,SPECPREFILL,recorded,False,16384,14322,recorded
