cell,budget_pct,idle_s,threshold,head,append,arm,kind,turn,prompt_tokens,cached_tokens,uncached_suffix,ttft_s,prefill_s,decode_s,decode_tps,output_tokens,wall_s,output_sha,shadow_committed_tokens,shadow_target_tokens,shadow_service_s,shadow_service_share,shadow_runnable_steps,shadow_scheduled_steps,shadow_yielded_steps,shadow_publishes,shadow_chunks,shadow_canonical_debt_tokens,canonical_prefix_tokens,canonical_prefix_source,canonical_debt_tokens,uncached_tail_tokens,debt_delta_tokens,catch_up_ratio,route,route_source,route_disagrees,route_cached_tokens,route_tail_tokens,cached_tokens_source,compact_at_turn,longest_common_token_prefix,token_counts_approx,post_compact
compact,100.0,75.0,8192,8000,3000,spec,turn,0,21910,0,21910,21.255,19.95,0,,24,21.256,8c048521bbc196be,,,,,,,,,,,0,restore,21910,21910,3118,0.0,SPECPREFILL,recorded,False,0,21910,recorded,3,7856,True,False
compact,100.0,75.0,8192,8000,3000,spec,turn,1,25028,0,25028,23.904,22.91,0,,24,23.907,8c048521bbc196be,,,,,,,,,,,0,restore,25028,25028,3092,0.0,SPECPREFILL,recorded,False,0,25028,recorded,3,7856,True,False
compact,100.0,75.0,8192,8000,3000,spec,turn,2,28120,0,28120,26.851,25.85,0,,24,26.852,8c048521bbc196be,,,,,,,,,,,0,restore,28120,28120,-19814,,SPECPREFILL,recorded,False,0,28120,recorded,3,7856,True,False
compact,100.0,75.0,8192,8000,3000,spec,turn,3,8306,0,8306,8.393,7.46,0,,24,8.394,1400f4f1367d6b90,,,,,,,,,,,0,restore,8306,8306,3072,0.0,SPECPREFILL,recorded,False,0,8306,recorded,3,7856,True,True
compact,100.0,75.0,8192,8000,3000,spec,turn,4,11378,0,11378,11.228,10.28,0,,24,11.228,8c048521bbc196be,,,,,,,,,,,0,restore,11378,11378,3078,0.0,SPECPREFILL,recorded,False,0,11378,recorded,3,7856,True,True
compact,100.0,75.0,8192,8000,3000,spec,turn,5,14456,0,14456,13.988,13.03,0,,24,13.989,436f64841d4d71bc,,,,,,,,,,,0,restore,14456,14456,,,SPECPREFILL,recorded,False,0,14456,recorded,3,7856,True,True
compact,100.0,75.0,8192,8000,3000,pcsr,turn,0,21910,0,21910,21.241,19.95,0,,24,21.241,8c048521bbc196be,0,20481,0.0,0.0,2,0,0,0,0,21910,0,equal,21910,21910,-17362,6.568313021167415,SPECPREFILL,recorded,False,0,21910,recorded,3,7856,True,False
compact,100.0,75.0,8192,8000,3000,pcsr,turn,1,25028,20480,4548,30.908,29.87,0,,24,30.908,8c048521bbc196be,20480,20481,83.868851,0.653204,11,5,0,5,5,21910,20480,equal,4548,4548,-1004,1.3247089262613196,DENSE,recorded,False,20480,4548,recorded,3,7856,True,False
compact,100.0,75.0,8192,8000,3000,pcsr,turn,2,28120,24576,3544,17.793,16.7,0,,24,17.793,cdfe03b2a33c3cdd,20480,20481,83.868851,0.379162,11,5,0,5,5,21910,24576,restore,3544,3544,666,,DENSE,recorded,False,24576,3544,recorded,3,7856,True,False
compact,100.0,75.0,8192,8000,3000,pcsr,turn,3,8306,4096,4210,17.98,17.0,0,,24,17.981,6ae45044f6712924,20480,20481,83.868851,0.266944,11,5,0,5,5,21910,4096,restore,4210,4210,-1024,1.3333333333333333,DENSE,recorded,False,4096,4210,recorded,3,7856,True,True
compact,100.0,75.0,8192,8000,3000,pcsr,turn,4,11378,8192,3186,14.212,13.21,0,,24,14.212,8c048521bbc196be,20480,20481,83.868851,0.207904,11,5,0,5,5,21910,8192,restore,3186,3186,3078,0.0,DENSE,recorded,False,8192,3186,recorded,3,7856,True,True
compact,100.0,75.0,8192,8000,3000,pcsr,turn,5,14456,8192,6264,27.017,26.0,0,,24,27.018,436f64841d4d71bc,20480,20481,83.868851,0.165938,11,5,0,5,5,21910,8192,restore,6264,6264,,,DENSE,recorded,False,8192,6264,recorded,3,7856,True,True
