cell,budget_pct,idle_s,threshold,head,append,arm,kind,turn,prompt_tokens,cached_tokens,uncached_suffix,ttft_s,prefill_s,decode_s,decode_tps,output_tokens,wall_s,output_sha,shadow_committed_tokens,shadow_target_tokens,shadow_service_s,shadow_service_share,shadow_runnable_steps,shadow_scheduled_steps,shadow_yielded_steps,shadow_publishes,shadow_chunks,shadow_canonical_debt_tokens,canonical_prefix_tokens,canonical_prefix_source,canonical_debt_tokens,uncached_tail_tokens,debt_delta_tokens,catch_up_ratio,route,route_source,route_disagrees,route_cached_tokens,route_tail_tokens,cached_tokens_source
exit-controls,100.0,75.0,8192,24000,3000,dense,turn,0,24567,0,24567,103.723,102.3,0,,24,103.725,ea4e50ce6feb7ca7,,,,,,,,,,,0,restore,24567,24567,-17398,6.645035691109669,DENSE,recorded,True,0,24567,recorded
exit-controls,100.0,75.0,8192,24000,3000,dense,turn,1,27649,20480,7169,33.799,32.72,0,,24,33.8,ea4e50ce6feb7ca7,,,,,,,,,,,20480,restore,7169,7169,-1039,1.3398756951259405,DENSE,recorded,False,20480,7169,recorded
exit-controls,100.0,75.0,8192,24000,3000,dense,turn,2,30706,24576,6130,29.953,28.83,0,,24,29.954,ea4e50ce6feb7ca7,,,,,,,,,,,24576,restore,6130,6130,-1005,1.3251374959560014,DENSE,recorded,False,24576,6130,recorded
exit-controls,100.0,75.0,8192,24000,3000,dense,turn,3,33797,28672,5125,26.042,24.92,0,,24,26.042,c5c36316b26770d4,,,,,,,,,,,28672,restore,5125,5125,-1028,1.3350717079530638,DENSE,recorded,False,28672,5125,recorded
exit-controls,100.0,75.0,8192,24000,3000,dense,turn,4,36865,32768,4097,21.606,20.47,0,,24,21.607,5114cacea8a35dae,,,,,,,,,,,32768,restore,4097,4097,3105,0.0,DENSE,recorded,False,32768,4097,recorded
exit-controls,100.0,75.0,8192,24000,3000,dense,turn,5,39970,36864,3106,37.542,36.39,0,,24,37.544,ea4e50ce6feb7ca7,,,,,,,,,,,32768,restore,7202,7202,-1001,1.3234248788368337,DENSE,recorded,False,32768,7202,recorded
exit-controls,100.0,75.0,8192,24000,3000,dense,turn,6,43065,40960,2105,33.103,31.94,0,,24,33.104,ea4e50ce6feb7ca7,,,,,,,,,,,36864,restore,6201,6201,,,DENSE,recorded,False,36864,6201,recorded
exit-controls,100.0,75.0,8192,24000,3000,dense,dense-probe,6,43065,40960,2105,12.295,11.13,0,,24,12.295,ea4e50ce6feb7ca7,,,,,,,,,,,,,,,,,,,,,,
exit-controls,100.0,75.0,8192,24000,3000,spec,turn,0,24567,0,24567,23.816,22.5,0,,24,23.817,e941415744ef39c5,,,,,,,,,,,0,restore,24567,24567,3082,0.0,SPECPREFILL,recorded,False,0,24567,recorded
exit-controls,100.0,75.0,8192,24000,3000,spec,turn,1,27649,0,27649,26.272,25.27,0,,24,26.273,e941415744ef39c5,,,,,,,,,,,0,restore,27649,27649,3057,0.0,SPECPREFILL,recorded,False,0,27649,recorded
exit-controls,100.0,75.0,8192,24000,3000,spec,turn,2,30706,0,30706,29.387,28.38,0,,24,29.388,8c048521bbc196be,,,,,,,,,,,0,restore,30706,30706,3091,0.0,SPECPREFILL,recorded,False,0,30706,recorded
exit-controls,100.0,75.0,8192,24000,3000,spec,turn,3,33797,0,33797,32.582,31.58,0,,24,32.583,e941415744ef39c5,,,,,,,,,,,0,restore,33797,33797,3068,0.0,SPECPREFILL,recorded,False,0,33797,recorded
exit-controls,100.0,75.0,8192,24000,3000,spec,turn,4,36865,0,36865,35.525,34.5,0,,24,35.526,e941415744ef39c5,,,,,,,,,,,0,restore,36865,36865,3105,0.0,SPECPREFILL,recorded,False,0,36865,recorded
exit-controls,100.0,75.0,8192,24000,3000,spec,turn,5,39970,0,39970,38.69,37.66,0,,24,38.691,e941415744ef39c5,,,,,,,,,,,0,restore,39970,39970,3095,0.0,SPECPREFILL,recorded,False,0,39970,recorded
exit-controls,100.0,75.0,8192,24000,3000,spec,turn,6,43065,0,43065,42.16,41.12,0,,24,42.161,e941415744ef39c5,,,,,,,,,,,0,restore,43065,43065,,,SPECPREFILL,recorded,False,0,43065,recorded
exit-controls,100.0,75.0,8192,24000,3000,spec,dense-probe,6,43065,36864,6201,195.189,194.01,0,,24,195.192,ea4e50ce6feb7ca7,,,,,,,,,,,,,,,,,,,,,,
exit-controls,100.0,75.0,8192,24000,3000,recovery-end,turn,0,24567,0,24567,23.848,22.51,0,,24,23.848,e941415744ef39c5,0,20481,0.0,0.0,2,0,0,0,0,24567,0,equal,24567,24567,-17398,6.645035691109669,SPECPREFILL,recorded,False,0,24567,recorded
exit-controls,100.0,75.0,8192,24000,3000,recovery-end,turn,1,27649,20480,7169,42.645,41.59,0,,24,42.646,ea4e50ce6feb7ca7,20480,20481,83.762538,0.586192,11,5,0,1,5,24567,20480,equal,7169,7169,-1039,1.3398756951259405,DENSE,recorded,False,20480,7169,recorded
exit-controls,100.0,75.0,8192,24000,3000,recovery-end,turn,2,30706,24576,6130,29.924,28.81,0,,24,29.925,ea4e50ce6feb7ca7,20480,20481,83.762538,0.337997,11,5,0,1,5,24567,24576,restore,6130,6130,-1005,1.3251374959560014,DENSE,recorded,False,24576,6130,recorded
exit-controls,100.0,75.0,8192,24000,3000,recovery-end,turn,3,33797,28672,5125,26.021,24.92,0,,24,26.023,c5c36316b26770d4,20480,20481,83.762538,0.24011,11,5,0,1,5,24567,28672,restore,5125,5125,-1028,1.3350717079530638,DENSE,recorded,False,28672,5125,recorded
exit-controls,100.0,75.0,8192,24000,3000,recovery-end,turn,4,36865,32768,4097,21.619,20.49,0,,24,21.621,5114cacea8a35dae,20480,20481,83.762538,0.188031,11,5,0,1,5,24567,32768,restore,4097,4097,3105,0.0,DENSE,recorded,False,32768,4097,recorded
exit-controls,100.0,75.0,8192,24000,3000,recovery-end,turn,5,39970,36864,3106,37.567,36.39,0,,24,37.568,ea4e50ce6feb7ca7,20480,20481,83.762538,0.150099,11,5,0,1,5,24567,32768,restore,7202,7202,-1001,1.3234248788368337,DENSE,recorded,False,32768,7202,recorded
