cell,budget_pct,idle_s,threshold,head,append,arm,kind,turn,prompt_tokens,cached_tokens,uncached_suffix,ttft_s,prefill_s,decode_s,decode_tps,output_tokens,wall_s,output_sha,shadow_committed_tokens,shadow_target_tokens,shadow_service_s,shadow_service_share,shadow_runnable_steps,shadow_scheduled_steps,shadow_yielded_steps,shadow_publishes,shadow_chunks,shadow_canonical_debt_tokens,canonical_prefix_tokens,canonical_prefix_source,canonical_debt_tokens,uncached_tail_tokens,debt_delta_tokens,catch_up_ratio,route,route_source,route_disagrees,route_cached_tokens,route_tail_tokens,cached_tokens_source
exit-idle15,100.0,15.0,8192,24000,3000,pcsr,turn,0,24567,0,24567,23.819,22.51,0,,24,23.82,e941415744ef39c5,0,20481,0.0,0.0,2,0,0,0,0,24567,0,equal,24567,24567,-1014,1.3290071382219337,SPECPREFILL,recorded,False,0,24567,recorded
exit-idle15,100.0,15.0,8192,24000,3000,pcsr,turn,1,27649,4096,23553,23.68,22.7,0,,24,23.681,e941415744ef39c5,4096,24577,15.757144,0.246722,6,1,1,1,1,23553,4096,equal,23553,23553,-1039,1.3398756951259405,SPECPREFILL,recorded,False,4096,23553,recorded
exit-idle15,100.0,15.0,8192,24000,3000,pcsr,turn,2,30706,8192,22514,23.826,22.82,0,,24,23.827,e941415744ef39c5,8192,28673,32.017982,0.311769,10,2,2,2,2,22514,8192,equal,22514,22514,-1005,1.3251374959560014,SPECPREFILL,recorded,False,8192,22514,recorded
exit-idle15,100.0,15.0,8192,24000,3000,pcsr,turn,3,33797,12288,21509,23.977,22.94,0,,24,23.977,e941415744ef39c5,12288,32769,48.80308,0.344448,14,3,3,3,3,21509,12288,equal,21509,21509,-1028,1.3350717079530638,SPECPREFILL,recorded,False,12288,21509,recorded
exit-idle15,100.0,15.0,8192,24000,3000,pcsr,turn,4,36865,16384,20481,23.894,22.83,0,,24,23.874,e941415744ef39c5,16384,36865,66.096714,0.366009,18,4,4,4,4,20481,16384,equal,20481,20481,-991,1.3191626409017714,SPECPREFILL,recorded,False,16384,20481,recorded
exit-idle15,100.0,15.0,8192,24000,3000,pcsr,turn,5,39970,20480,19490,23.762,22.7,0,,24,23.761,e941415744ef39c5,0,36865,83.910945,0.382526,22,5,5,5,5,19490,20480,restore,19490,19490,-1001,1.3234248788368337,SPECPREFILL,recorded,False,20480,19490,recorded
exit-idle15,100.0,15.0,8192,24000,3000,pcsr,turn,6,43065,24576,18489,24.116,23.03,0,,24,24.116,d1ad753f49edb745,24576,40961,102.452943,0.396365,26,6,6,6,6,18489,24576,equal,18489,18489,,,SPECPREFILL,recorded,False,24576,18489,recorded
exit-idle15,100.0,15.0,8192,24000,3000,pcsr,dense-probe,6,43065,32768,10297,76.78,75.64,0,,24,76.782,ea4e50ce6feb7ca7,28672,40961,121.553841,0.347026,28,7,7,7,7,18489,,,,,,,,,,,,
exit-idle15-spec,100.0,15.0,8192,24000,3000,spec,turn,0,24567,0,24567,23.835,22.51,0,,24,23.835,e941415744ef39c5,,,,,,,,,,,0,restore,24567,24567,3082,0.0,SPECPREFILL,recorded,False,0,24567,recorded
exit-idle15-spec,100.0,15.0,8192,24000,3000,spec,turn,1,27649,0,27649,26.272,25.28,0,,24,26.273,e941415744ef39c5,,,,,,,,,,,0,restore,27649,27649,3057,0.0,SPECPREFILL,recorded,False,0,27649,recorded
exit-idle15-spec,100.0,15.0,8192,24000,3000,spec,turn,2,30706,0,30706,29.401,28.39,0,,24,29.402,8c048521bbc196be,,,,,,,,,,,0,restore,30706,30706,3091,0.0,SPECPREFILL,recorded,False,0,30706,recorded
exit-idle15-spec,100.0,15.0,8192,24000,3000,spec,turn,3,33797,0,33797,32.577,31.56,0,,24,32.578,8c048521bbc196be,,,,,,,,,,,0,restore,33797,33797,3068,0.0,SPECPREFILL,recorded,False,0,33797,recorded
exit-idle15-spec,100.0,15.0,8192,24000,3000,spec,turn,4,36865,0,36865,35.554,34.53,0,,24,35.555,e941415744ef39c5,,,,,,,,,,,0,restore,36865,36865,3105,0.0,SPECPREFILL,recorded,False,0,36865,recorded
exit-idle15-spec,100.0,15.0,8192,24000,3000,spec,turn,5,39970,0,39970,38.69,37.66,0,,24,38.691,e941415744ef39c5,,,,,,,,,,,0,restore,39970,39970,3095,0.0,SPECPREFILL,recorded,False,0,39970,recorded
exit-idle15-spec,100.0,15.0,8192,24000,3000,spec,turn,6,43065,0,43065,42.162,41.13,0,,24,42.163,e941415744ef39c5,,,,,,,,,,,0,restore,43065,43065,,,SPECPREFILL,recorded,False,0,43065,recorded
exit-idle15-spec,100.0,15.0,8192,24000,3000,spec,dense-probe,6,43065,36864,6201,195.15,193.97,0,,24,195.152,ea4e50ce6feb7ca7,,,,,,,,,,,,,,,,,,,,,,
