tail_requested,route_requested,server_git_sha,warm_prompt_tokens,warm_route,warm_ttft_s,prompt_tokens,canonical_prefix_tokens,uncached_tail_tokens,route,threshold_tokens,ttft_s,prefill_s,decode_s,decode_tps,output_tokens,prefill_pauses,throttle_notices
2048,dense,13f4f4873958425cbfd028655ae89e0ad23ab79c,24583,dense,103.866,26676,24576,2100,dense,8192,10.915,9.85,0.0,,24,0,0
2048,sparse,13f4f4873958425cbfd028655ae89e0ad23ab79c,24583,dense,103.839,26676,24576,2100,specprefill,1,4.009,2.96,0.0,,24,0,0
4096,dense,13f4f4873958425cbfd028655ae89e0ad23ab79c,24583,dense,103.823,28767,24576,4191,dense,8192,20.913,19.84,0.0,,24,0,0
4096,sparse,13f4f4873958425cbfd028655ae89e0ad23ab79c,24583,dense,103.807,28767,24576,4191,specprefill,1,5.802,4.75,0.0,,24,0,0
8192,dense,13f4f4873958425cbfd028655ae89e0ad23ab79c,24583,dense,103.819,32888,24576,8312,dense,8192,40.752,39.66,0.0,,24,1,1
8192,sparse,13f4f4873958425cbfd028655ae89e0ad23ab79c,24583,dense,103.812,32888,24576,8312,specprefill,1,9.908,8.85,0.0,,24,0,0
12288,dense,13f4f4873958425cbfd028655ae89e0ad23ab79c,24583,dense,103.818,37043,24576,12467,dense,8192,61.92,60.81,0.0,,24,2,2
12288,sparse,13f4f4873958425cbfd028655ae89e0ad23ab79c,24583,dense,103.821,37043,24576,12467,specprefill,1,14.284,13.21,0.0,,24,0,0
16384,dense,13f4f4873958425cbfd028655ae89e0ad23ab79c,24583,dense,103.818,41271,24576,16695,dense,8192,83.981,82.85,0.0,,24,2,2
16384,sparse,13f4f4873958425cbfd028655ae89e0ad23ab79c,24583,dense,103.823,41271,24576,16695,specprefill,1,18.883,17.8,0.0,,24,0,0
