regime,arm,grain_blocks,publication,elapsed_s,published_tokens,before_last_request,arm_last_send_elapsed_s
R1,A,1,1,39.1,1024,1,1001.1
R1,A,1,2,103.5,2048,1,1001.1
R1,A,1,3,167.7,3072,1,1001.1
R1,A,1,4,239.1,4096,1,1001.1
R1,A,1,5,299.1,5120,1,1001.1
R1,A,1,6,358.6,6144,1,1001.1
R1,A,1,7,421.5,7168,1,1001.1
R1,A,1,8,509.3,8192,1,1001.1
R1,A,1,9,604.7,9216,1,1001.1
R1,A,1,10,689.4,10240,1,1001.1
R1,A,1,11,789.5,11264,1,1001.1
R1,A,1,12,912.1,12288,1,1001.1
R1,A,1,13,989.4,13312,1,1001.1
R1,B,4,1,39.1,1024,1,972.5
R1,B,4,2,98.9,2048,1,972.5
R1,B,4,3,159.2,3072,1,972.5
R1,B,4,4,219.6,4096,1,972.5
R1,B,4,5,342.2,5120,1,972.5
R1,B,4,6,402.6,6144,1,972.5
R1,B,4,7,523.3,7168,1,972.5
R1,B,4,8,584.0,8192,1,972.5
R1,B,4,9,671.2,9216,1,972.5
R1,B,4,10,765.9,10240,1,972.5
R1,B,4,11,886.6,11264,1,972.5
R1,B,4,12,971.4,12288,1,972.5
R2,A,1,1,65.5,1024,1,1437.8
R2,A,1,2,156.9,2048,1,1437.8
R2,A,1,3,248.6,3072,1,1437.8
R2,A,1,4,356.1,4096,1,1437.8
R2,A,1,5,446.2,5120,1,1437.8
R2,A,1,6,602.6,6144,1,1437.8
R2,A,1,7,716.3,7168,1,1437.8
R2,A,1,8,869.7,8192,1,1437.8
R2,A,1,9,986.4,9216,1,1437.8
R2,A,1,10,1139.1,10240,1,1437.8
R2,A,1,11,1316.7,11264,1,1437.8
R2,A,1,12,1495.4,12288,0,1437.8
R2,B,4,1,65.5,1024,1,1325.4
R2,B,4,2,145.4,2048,1,1325.4
R2,B,4,3,225.7,3072,1,1325.4
R2,B,4,4,323.3,4096,1,1325.4
R2,B,4,5,413.3,5120,1,1325.4
R2,B,4,6,557.7,6144,1,1325.4
R2,B,4,7,638.7,7168,1,1325.4
R2,B,4,8,743.4,8192,1,1325.4
R2,B,4,9,890.2,9216,1,1325.4
R2,B,4,10,983.6,10240,1,1325.4
R2,B,4,11,1134.6,11264,1,1325.4
R2,B,4,12,1300.1,12288,1,1325.4
