regime,arm,grain_blocks,turn,prompt_tokens,durable_frontier_before,durable_match,visible_frontier,visible_delta,visible_changed,pcsr_processed,pcsr_committed,publications_since_prev,score_window_start,target_cached,scored_tokens,draft_hit_tokens,draft_scoring_s,uncached_target_suffix,target_selected,target_sparse_prefill_s,foreground_cost_s,ttft_s
R1,A,1,0,36027,0,0,0,,,-1,-1,,0,0,36027,0,5.8,36027,7226,28.3,34.1,34.84
R1,A,1,1,36534,1024,1024,1024,1024,1,1536,1024,1,1024,1024,35510,0,5.7,35510,7093,28.1,33.8,34.38
R1,A,1,2,37051,2048,2048,2048,1024,1,2560,2048,1,2048,2048,35003,0,5.5,35003,7002,27.9,33.4,34.14
R1,A,1,3,37551,3072,3072,3072,1024,1,3584,3072,1,3072,3072,34479,0,5.4,34479,6894,27.8,33.2,33.84
R1,A,1,4,38075,4096,4096,4096,1024,1,4096,4096,1,4096,4096,33979,0,5.3,33979,6810,27.6,32.9,33.58
R1,A,1,5,38583,5120,5120,5120,1024,1,5120,5120,1,5120,5120,33463,0,5.2,33463,6710,27.4,32.6,33.32
R1,A,1,6,39097,6144,6144,6144,1024,1,6144,6144,1,6144,6144,32953,0,5.1,32953,6584,27.1,32.2,32.92
R1,A,1,7,39614,7168,7168,7168,1024,1,7680,7168,1,7168,7168,32446,0,5.0,32446,6493,27.0,32.0,32.49
R1,A,1,8,40123,8192,8192,8192,1024,1,8192,8192,1,8192,8192,31931,0,4.9,31931,6394,26.8,31.7,32.19
R1,A,1,9,40640,8192,8192,8192,0,0,8704,8192,0,8192,8192,32448,30720,0.6,32448,6495,27.2,27.8,28.35
R1,A,1,10,41148,9216,9216,9216,1024,1,9728,9216,1,9216,9216,31932,0,4.9,31932,6395,27.4,32.3,33.03
R1,A,1,11,41663,10240,10240,10240,1024,1,10240,10240,1,10240,10240,31423,0,4.9,31423,6302,27.2,32.1,32.86
R1,A,1,12,42165,10240,10240,10240,0,0,10752,10240,0,10240,10240,31925,30720,0.5,31925,6388,27.8,28.3,28.83
R1,A,1,13,42684,11264,11264,11264,1024,1,11776,11264,1,11264,11264,31420,0,5.0,31420,6299,27.6,32.6,33.41
R1,A,1,14,43192,11264,11264,11264,0,0,11776,11264,0,11264,11264,31928,30720,0.5,31928,6391,28.0,28.5,29.11
R1,A,1,15,43695,12288,12288,12288,1024,1,12800,12288,1,12288,12288,31407,0,5.1,31407,6286,27.9,33.0,33.77
R1,A,1,16,44208,13312,13312,13312,1024,1,13312,13312,1,13312,13312,30896,0,5.0,30896,6191,27.7,32.7,33.52
R1,B,4,0,36027,0,0,0,,,-1,-1,,0,0,36027,0,5.8,36027,7226,28.4,34.2,34.83
R1,B,4,1,36534,1024,1024,0,0,0,1536,1024,1,0,0,36534,34816,0.6,36534,7317,28.7,29.3,29.74
R1,B,4,2,37051,2048,2048,0,0,0,2560,2048,1,0,0,37051,34816,0.7,37051,7418,29.1,29.8,30.27
R1,B,4,3,37551,3072,3072,0,0,0,3584,3072,1,0,0,37551,36864,0.4,37551,7502,29.5,29.9,30.33
R1,B,4,4,38075,4096,4096,4096,4096,1,4608,4096,1,4096,4096,33979,0,5.3,33979,6810,27.6,32.9,33.6
R1,B,4,5,38583,4096,4096,4096,0,0,4608,4096,0,4096,4096,34487,32768,0.6,34487,6902,28.0,28.6,28.91
R1,B,4,6,39097,5120,5120,4096,0,0,5632,5120,1,4096,4096,35001,32768,0.7,35001,7000,28.4,29.1,30.34
R1,B,4,7,39614,6144,6144,4096,0,0,6656,6144,1,4096,4096,35518,34816,0.4,35518,7101,28.8,29.2,30.06
R1,B,4,8,40123,6144,6144,4096,0,0,6656,6144,0,4096,4096,36027,34816,0.5,36027,7226,29.3,29.8,30.62
R1,B,4,9,40640,7168,7168,4096,0,0,7680,7168,1,4096,4096,36544,34816,0.6,36544,7327,29.7,30.3,30.65
R1,B,4,10,41148,8192,8192,8192,4096,1,8704,8192,1,8192,8192,32956,0,5.1,32956,6587,27.6,32.7,33.24
R1,B,4,11,41663,9216,9216,8192,0,0,9216,9216,1,8192,8192,33471,32768,0.4,33471,6718,28.1,28.5,29.01
R1,B,4,12,42165,9216,9216,8192,0,0,9728,9216,0,8192,8192,33973,32768,0.5,33973,6804,28.5,29.0,29.53
R1,B,4,13,42684,10240,10240,8192,0,0,10752,10240,1,8192,8192,34492,32768,0.6,34492,6907,28.9,29.5,30.04
R1,B,4,14,43192,10240,10240,8192,0,0,10752,10240,0,8192,8192,35000,32768,0.7,35000,6999,29.4,30.1,30.6
R1,B,4,15,43695,11264,11264,8192,0,0,11776,11264,1,8192,8192,35503,34816,0.4,35503,7086,29.7,30.1,30.65
R1,B,4,16,44208,12288,12288,12288,4096,1,12288,12288,1,12288,12288,31920,0,4.9,31920,6383,27.6,32.5,33.24
R2,A,1,0,60024,0,0,0,,,-1,-1,,0,0,60024,0,12.2,60024,12023,48.1,60.3,61.24
R2,A,1,1,60528,1024,1024,1024,1024,1,1536,1024,1,1024,1024,59504,0,12.4,59504,11887,47.9,60.3,61.23
R2,A,1,2,61040,2048,2048,2048,1024,1,2560,2048,1,2048,2048,58992,0,12.5,58992,11791,47.9,60.4,61.47
R2,A,1,3,61549,3072,3072,3072,1024,1,3584,3072,1,3072,3072,58477,0,12.4,58477,11692,47.9,60.3,61.27
R2,A,1,4,62079,4096,4096,4096,1024,1,4096,4096,1,4096,4096,57983,0,12.5,57983,11614,47.9,60.4,61.33
R2,A,1,5,62584,5120,5120,5120,1024,1,5120,5120,1,5120,5120,57464,0,12.5,57464,11511,48.1,60.6,61.5
R2,A,1,6,63086,5120,5120,5120,0,0,5632,5120,0,5120,5120,57966,57344,0.5,57966,11597,48.5,49.0,49.69
R2,A,1,7,63613,6144,6144,6144,1024,1,6656,6144,1,6144,6144,57469,0,12.6,57469,11516,49.0,61.6,62.8
R2,A,1,8,64122,7168,7168,7168,1024,1,7168,7168,1,7168,7168,56954,0,12.6,56954,11385,49.1,61.7,62.73
R2,A,1,9,64636,7168,7168,7168,0,0,7680,7168,0,7168,7168,57468,55296,1.1,57468,11515,49.7,50.8,51.51
R2,A,1,10,65152,8192,8192,8192,1024,1,8704,8192,1,8192,8192,56960,0,12.6,56960,11391,49.7,62.3,64.06
R2,A,1,11,65664,9216,9216,9216,1024,1,9216,9216,1,9216,9216,56448,0,12.5,56448,11295,49.7,62.2,63.36
R2,A,1,12,66174,9216,9216,9216,0,0,9728,9216,0,9216,9216,56958,55296,0.9,56958,11389,50.1,51.0,51.76
R2,A,1,13,66685,10240,10240,10240,1024,1,10752,10240,1,10240,10240,56445,0,12.5,56445,11292,50.2,62.7,65.32
R2,A,1,14,67200,10240,10240,10240,0,0,10752,10240,0,10240,10240,56960,55296,0.9,56960,11391,50.6,51.5,52.27
R2,A,1,15,67701,11264,11264,11264,1024,1,11776,11264,1,11264,11264,56437,0,12.5,56437,11284,50.7,63.2,65.91
R2,A,1,16,68213,11264,11264,11264,0,0,11776,11264,0,11264,11264,56949,55296,0.9,56949,11380,51.1,52.0,52.77
R2,B,4,0,60024,0,0,0,,,-1,-1,,0,0,60024,0,12.3,60024,12023,48.1,60.4,61.27
R2,B,4,1,60528,1024,1024,0,0,0,1536,1024,1,0,0,60528,59392,0.7,60528,12111,48.5,49.2,49.67
R2,B,4,2,61040,2048,2048,0,0,0,2560,2048,1,0,0,61040,59392,0.9,61040,12207,48.9,49.8,50.23
R2,B,4,3,61549,3072,3072,0,0,0,3584,3072,1,0,0,61549,59392,1.1,61549,12300,49.4,50.5,51.04
R2,B,4,4,62079,4096,4096,4096,4096,1,4096,4096,1,4096,4096,57983,0,11.9,57983,11614,47.9,59.8,60.72
R2,B,4,5,62584,5120,5120,4096,0,0,5120,5120,1,4096,4096,58488,57344,0.7,58488,11703,48.3,49.0,49.54
R2,B,4,6,63086,5120,5120,4096,0,0,5632,5120,0,4096,4096,58990,57344,0.9,58990,11789,48.7,49.6,50.23
R2,B,4,7,63613,6144,6144,4096,0,0,6656,6144,1,4096,4096,59517,57344,1.1,59517,11900,49.2,50.3,51.0
R2,B,4,8,64122,7168,7168,4096,0,0,7680,7168,1,4096,4096,60026,59392,0.5,60026,12025,49.7,50.2,50.81
