arm,grain_blocks,turn,prompt_tokens,durable_frontier_before,durable_match,visible_frontier,visible_delta,visible_changed,pcsr_processed,pcsr_committed,publications_since_prev,score_window_start,target_cached,scored_tokens,draft_hit_tokens,draft_scoring_s,uncached_target_suffix,target_selected,target_sparse_prefill_s,foreground_cost_s,ttft_s
B,4,0,36027,0,0,0,,,-1,-1,,0,0,36027,0,5.9,36027,7226,28.4,34.3,35.43
B,4,1,36534,1024,1024,0,0,0,1536,1024,1,0,0,36534,34816,0.6,36534,7317,28.7,29.3,29.85
B,4,2,37051,2048,2048,0,0,0,2560,2048,1,0,0,37051,34816,0.7,37051,7418,29.1,29.8,30.36
B,4,3,37551,3072,3072,0,0,0,3584,3072,1,0,0,37551,36864,0.4,37551,7502,29.5,29.9,30.35
B,4,4,38075,4096,4096,4096,4096,1,4608,4096,1,4096,4096,33979,0,5.4,33979,6810,27.6,33.0,35.72
B,4,5,38583,5120,5120,4096,0,0,5632,5120,1,4096,4096,34487,32768,0.6,34487,6902,28.0,28.6,29.13
B,4,6,39097,6144,6144,4096,0,0,6656,6144,1,4096,4096,35001,32768,0.7,35001,7000,28.4,29.1,29.69
B,4,7,39614,6144,7168,4096,0,0,7168,7168,0,4096,4096,35518,34816,0.4,35518,7101,28.8,29.2,29.8
B,4,8,40123,7168,7168,4096,0,0,7680,7168,1,4096,4096,36027,34816,0.5,36027,7226,29.3,29.8,30.37
B,4,9,40640,8192,8192,8192,4096,1,8704,8192,1,8192,8192,32448,0,5.0,32448,6495,27.2,32.2,33.01
B,4,10,41148,9216,9216,8192,0,0,9216,9216,1,8192,8192,32956,30720,0.7,32956,6587,27.6,28.3,28.87
B,4,11,41663,9216,9216,8192,0,0,9728,9216,0,8192,8192,33471,32768,0.3,33471,6718,28.1,28.4,29.07
B,4,12,42165,10240,10240,8192,0,0,10240,10240,1,8192,8192,33973,32768,0.5,33973,6804,28.5,29.0,29.44
B,4,13,42684,10240,10240,8192,0,0,10752,10240,0,8192,8192,34492,32768,0.6,34492,6907,28.9,29.5,30.15
B,4,14,43192,11264,11264,8192,0,0,11776,11264,1,8192,8192,35000,32768,0.7,35000,6999,29.4,30.1,30.7
B,4,15,43695,11264,11264,8192,0,0,11776,11264,0,8192,8192,35503,34816,0.4,35503,7086,29.8,30.2,30.76
B,4,16,44208,12288,12288,12288,4096,1,12800,12288,1,12288,12288,31920,0,4.9,31920,6383,27.6,32.5,33.33
A,1,0,36027,0,0,0,,,-1,-1,,0,0,36027,0,5.8,36027,7226,28.4,34.2,34.92
A,1,1,36534,1024,1024,1024,1024,1,1536,1024,1,1024,1024,35510,0,5.8,35510,7093,28.1,33.9,34.59
A,1,2,37051,2048,2048,2048,1024,1,2560,2048,1,2048,2048,35003,0,5.6,35003,7002,28.2,33.8,34.5
A,1,3,37551,3072,3072,3072,1024,1,3584,3072,1,3072,3072,34479,0,5.5,34479,6894,27.8,33.3,33.97
A,1,4,38075,4096,4096,4096,1024,1,4608,4096,1,4096,4096,33979,0,5.3,33979,6810,27.8,33.1,33.86
A,1,5,38583,4096,4096,4096,0,0,4608,4096,0,4096,4096,34487,32768,0.9,34487,6902,33.7,34.6,54.53
A,1,6,39097,4096,4096,4096,0,0,4608,4096,0,4096,4096,35001,32768,1.2,35001,7000,28.6,29.8,33.3
A,1,7,39614,5120,5120,5120,1024,1,5632,5120,1,5120,5120,34494,0,5.4,34494,6909,28.2,33.6,36.44
A,1,8,40123,6144,6144,6144,1024,1,6656,6144,1,6144,6144,33979,0,5.3,33979,6810,28.1,33.4,34.12
A,1,9,40640,7168,7168,7168,1024,1,7168,7168,1,7168,7168,33472,0,5.2,33472,6719,27.9,33.1,33.81
A,1,10,41148,7168,7168,7168,0,0,7680,7168,0,7168,7168,33980,32768,0.5,33980,6811,28.3,28.8,29.34
A,1,11,41663,8192,8192,8192,1024,1,8704,8192,1,8192,8192,33471,0,5.3,33471,6718,28.3,33.6,34.35
A,1,12,42165,9216,9216,9216,1024,1,9216,9216,1,9216,9216,32949,0,5.3,32949,6580,28.2,33.5,34.2
A,1,13,42684,9216,9216,9216,0,0,9728,9216,0,9216,9216,33468,32768,0.3,33468,6715,28.7,29.0,29.63
A,1,14,43192,10240,10240,10240,1024,1,10752,10240,1,10240,10240,32952,0,5.3,32952,6583,28.4,33.7,34.49
A,1,15,43695,11264,11264,11264,1024,1,11264,11264,1,11264,11264,32431,0,6.2,32431,6478,29.9,36.1,36.83
A,1,16,44208,11264,11264,11264,0,0,11776,11264,0,11264,11264,32944,30720,0.7,32944,6575,28.9,29.6,29.97
