run,slice_tokens,cell,budget_pct,probe,ttft_s,wall_s,prompt_tokens
initial,0,off,,0,0.6539859579643235,0.654,63
initial,0,off,,1,0.6715042080031708,0.672,63
initial,0,off,,2,0.6586723750224337,0.659,63
initial,0,off,,3,0.6703170000109822,0.671,63
initial,0,off,,4,0.6722965420922264,0.673,63
initial,0,off,,5,0.6713854999979958,0.672,63
initial,0,off,,6,0.6499083340167999,0.65,63
initial,0,off,,7,0.6699442500248551,0.67,63
initial,0,off,,8,0.6708865420660004,0.671,63
initial,0,off,,9,0.6721451249904931,0.673,63
initial,0,off,,10,0.6741049160482362,0.675,64
initial,0,off,,11,0.6659490839811042,0.666,64
initial,0,off,,12,0.6659738339949399,0.666,64
initial,0,off,,13,0.6717308749211952,0.672,64
initial,0,off,,14,0.673818749957718,0.674,64
initial,0,off,,15,0.6609123749658465,0.661,64
initial,0,off,,16,0.6638115000678226,0.664,64
initial,0,off,,17,0.6651969579979777,0.666,64
initial,0,off,,18,0.6673462089383975,0.668,64
initial,0,off,,19,0.6707953329896554,0.671,64
initial,0,off,,20,0.6677988750161603,0.668,64
initial,0,off,,21,0.6641830410808325,0.665,64
initial,0,off,,22,0.673052208032459,0.673,64
initial,0,off,,23,0.6519354160409421,0.652,64
initial,0,capped,5.0,0,12.301602750085294,12.302,63
initial,0,capped,5.0,1,0.6528651670087129,0.653,63
initial,0,capped,5.0,2,0.6714709170628339,0.672,63
initial,0,capped,5.0,3,0.6819896250963211,0.682,63
initial,0,capped,5.0,4,0.6680232500657439,0.668,63
initial,0,capped,5.0,5,7.699072499992326,7.7,63
initial,0,capped,5.0,6,0.6829555840231478,0.683,63
initial,0,capped,5.0,7,0.6943823749898002,0.695,63
initial,0,capped,5.0,8,0.6762763750739396,0.677,63
initial,0,capped,5.0,9,0.6829125420190394,0.683,63
initial,0,capped,5.0,10,0.6847250409191474,0.685,64
initial,0,capped,5.0,11,0.6757784159854054,0.676,64
initial,0,capped,5.0,12,0.6778674999950454,0.678,64
initial,0,capped,5.0,13,0.6697704999241978,0.67,64
initial,0,capped,5.0,14,0.681306125014089,0.682,64
initial,0,capped,5.0,15,0.6807702499208972,0.681,64
initial,0,capped,5.0,16,3.0993295829975978,3.1,64
initial,0,capped,5.0,17,0.6724813749315217,0.673,64
initial,0,capped,5.0,18,0.6823502089828253,0.683,64
initial,0,capped,5.0,19,0.6777521249605343,0.678,64
