arm,turn,prompt_tokens,restored_prefix_tokens,selected_tokens,conversation_tokens,selected_min,selected_max,selected_hash,position_offset,chunk0_first_position,chunk0_last_position,chunk0_length,chunk0_position_span,chunk0_is_dense_run
pre,t0,15635,0,3122,15635,0,15634,249beee1db8b9427,0,0,2047,2048,2048,True
pre,t1,31238,4096,5413,27142,0,27141,22b82a4414962734,4096,4096,6143,2048,2048,True
pre,t2,46801,4096,8528,42705,0,42704,8fba49c0fde5ee8a,4096,0,2047,2048,2048,True
pre,t3,62395,8192,10842,54203,0,54202,4d80decc001c9955,8192,8192,10239,2048,2048,True
pre,t4,77920,12288,13151,65632,0,65631,fbb77b0344f98aee,12288,12288,14335,2048,2048,True
pre,t5,77920,12288,13151,65632,0,65631,fbb77b0344f98aee,12288,0,2047,2048,2048,True
post,t0,15635,0,3122,15635,0,15634,314935580a1fb18d,0,0,4127,2048,4128,False
post,t1,31238,4096,5413,27142,0,27141,22b82a4414962734,4096,4096,8895,2048,4800,False
post,t2,46801,4096,8528,42705,0,42704,8fba49c0fde5ee8a,4096,4096,7199,2048,3104,False
post,t3,62395,8192,10842,54203,0,54202,4d80decc001c9955,8192,8192,10943,2048,2752,False
post,t4,77920,12288,13151,65632,0,65631,fbb77b0344f98aee,12288,12288,15039,2048,2752,False
post,t5,77920,16384,12319,61536,0,61535,5a07dac8d7f422db,16384,16384,19455,2048,3072,False
