arm,turn,vocab,max_abs_diff_vs_dense,mean_abs_diff_vs_dense,relative_l2_vs_dense,argmax_token_id,dense_argmax_token_id,argmax_agrees_with_dense
pre,t0,248320,7.15625,0.96233286,0.57502898,1596,1596,True
post,t0,248320,6.546875,0.9293016,0.55485403,1596,1596,True
pre,t1,248320,7.609375,1.11887255,0.66446448,1596,1596,True
post,t1,248320,6.570312,1.05281987,0.62502486,1596,1596,True
pre,t2,248320,8.5625,1.13699616,0.67382309,1596,1596,True
post,t2,248320,7.167969,1.07930287,0.64309962,1596,1596,True
pre,t3,248320,7.71875,1.10597036,0.67048413,1596,1596,True
post,t3,248320,9.046875,0.98226453,0.59680358,1596,1596,True
pre,t4,248320,6.96875,1.08854831,0.66031163,1596,1596,True
post,t4,248320,6.71875,1.0053231,0.61024917,1596,1596,True
pre,t5,248320,7.234375,1.09126558,0.66184794,1596,1596,True
post,t5,248320,5.90625,0.93943642,0.56913959,1596,1596,True
