arm,turn,output_tokens,dense_output_tokens,exact_match_dense,first_differing_token_index,prefix_agreement_ratio,multiset_agreement_ratio,output_sha256
pre,t0,193,193,False,5,0.025907,0.378238,6a7569228a8a5fe5cb7b34b8f0bc6513ff61889306861c90a03384768a9166c7
post,t0,193,193,False,5,0.025907,0.481865,b9e3d77954a7671ced7cbe74f82db1cb5287bd7ae57fc976a6863e8e33d47b60
pre,t1,193,193,False,4,0.020725,0.549223,3ad20fff3cef019ddcba11c3d4dd93fcfdde1304e4712973d6da326e1acf7702
post,t1,193,193,False,4,0.020725,0.528497,8a4ee522de15f5a199e5ea9b7f8d19a7d3288a92ad8b5bf137ea2b58636225d1
pre,t2,193,193,False,9,0.046632,0.518135,57292ab11ef5f344eabcb473e6fd31595da4537cf298b12022d360667f20c896
post,t2,193,193,False,9,0.046632,0.595855,46d542a9bd254ecf785e2c2a77fad2ab3c8418c01d8c52fe0275e43e2577c1aa
pre,t3,193,193,False,4,0.020725,0.53886,b6813f25e746167bfe1f493f8809f0b0db4b07aee380741b078e144f26d4d402
post,t3,193,193,False,4,0.020725,0.497409,69fa5514699a88038597609bdcff1e0918437d98707049a06fcd5240652226d9
pre,t4,193,193,False,4,0.020725,0.554404,3cdb3e86e49182dee833a772ea0eac62c64593df4254a9f4a7ed085287ba3dd7
post,t4,193,193,False,4,0.020725,0.414508,d85bf3988a19a38eedc2f7dd66d544ed6e06972388ab440b601289e61629defe
pre,t5,193,193,False,4,0.020725,0.502591,c1a9d13c5b56a52d0b886ef4e4075bbef5b7184aa71350755f5ca6d01f56bcba
post,t5,193,193,False,4,0.020725,0.466321,9756afd0d6e02fbf8754122f61d3f3b0bcbc89708255bcb41a4a37f165e40cfa
