arm,turn,prompt_tokens,restored_prefix_tokens,foreground_route,ttft_s,prefill_s,e2e_s,output_tokens,cache_state_matched_across_sparse_arms
dense,t0,15635,0,dense,92.0658705419628,62.94,92.06669362506364,192,False
pre,t0,15635,0,specprefill,29.85930204205215,14.12,29.859687208081596,192,False
post,t0,15635,0,specprefill,38.427258666954,14.12,38.42765804193914,192,False
dense,t1,31238,12288,dense,93.08983275003266,84.86,93.09093437495176,192,True
pre,t1,31238,4096,specprefill,46.863106874981895,39.37,46.86350166704506,192,True
post,t1,31238,4096,specprefill,46.84746583295055,39.34,46.847843540948816,192,True
dense,t2,46801,36864,dense,100.64768487494439,91.91,100.64813479199074,192,True
pre,t2,46801,4096,specprefill,49.554476249963045,41.91,49.55483112495858,192,True
post,t2,46801,4096,specprefill,49.56893574993592,41.92,49.56927874998655,192,True
dense,t3,62395,49152,dense,108.09811466699466,98.79,108.09881137497723,192,True
pre,t3,62395,8192,specprefill,77.93976483400911,70.09,77.94012637506239,192,True
post,t3,62395,8192,specprefill,77.92467099998612,70.08,77.92504916701,192,True
dense,t4,77920,69632,dense,116.9298304169206,107.08,116.93035804200917,192,True
pre,t4,77920,12288,specprefill,94.0990894160932,85.99,94.09979524998926,192,True
post,t4,77920,12288,specprefill,94.10438970895484,86.0,94.10503066692036,192,True
dense,t5,77920,77824,dense,11.069152540992945,1.22,11.069513124995865,192,False
pre,t5,77920,12288,specprefill,79.57781304197852,71.46,79.57817441702355,192,False
post,t5,77920,16384,specprefill,91.1555518329842,82.94,91.1559292919701,192,False
