arm,scoring_seq,time,prompt_tokens,system_end,conv_tokens,target_cached,score_window_start,scored_tokens,scoring_s,draft_cache_hit,draft_matched_tokens,draft_boundary_published,selected,keep_pct,pcsr_published_since_last
treatment-budget10,1,00:08:53,32344,0,32344,0,0,32344,5.2,miss,0,30720,6488,20,0
treatment-budget10,2,00:09:16,32344,0,32344,0,0,32344,0.6,hit,30720,,6488,20,0
treatment-budget10,3,00:13:12,55182,15960,39222,20480,20480,34702,5.7,miss,0,32768,6926,20,3
treatment-budget10,4,00:13:56,55727,15960,39767,20480,20480,35247,0.8,hit,32768,34816,7055,20,0
treatment-budget10,5,00:14:32,55978,15960,40018,20480,20480,35498,0.4,hit,34816,,7082,20,0
treatment-budget10,6,00:17:41,56422,15960,40462,21504,21504,34918,5.8,miss,0,34816,6982,20,1
treatment-budget10,7,00:18:15,56586,15960,40626,21504,21504,35082,0.3,hit,34816,,7018,20,0
treatment-budget10,8,00:19:06,90477,15960,74517,22528,22528,67949,15.9,miss,0,67584,13581,20,1
treatment-budget10,9,00:20:44,91040,15960,75080,23552,23552,67488,15.7,miss,0,65536,13504,20,1
treatment-budget10,10,00:22:04,91678,15960,75718,23552,23552,68126,1.4,hit,65536,67584,13630,20,0
treatment-budget10,11,00:23:37,91905,15960,75945,24576,24576,67329,15.6,miss,0,65536,13441,20,1
treatment-budget10,12,00:25:01,92364,15960,76404,24576,24576,67788,1.2,hit,65536,67584,13548,20,0
treatment-budget10,13,00:26:34,92691,15960,76731,25600,25600,67091,15.5,miss,0,65536,13427,20,1
treatment-budget10,14,00:28:05,92904,15960,76944,26624,26624,66280,15.2,miss,0,65536,13256,20,1
treatment-budget10,15,00:29:24,93163,15960,77203,26624,26624,66539,0.8,hit,65536,,13291,20,0
treatment-budget10,16,00:30:38,93374,15960,77414,26624,26624,66750,0.8,hit,65536,,13374,20,0
treatment-budget10,17,00:31:52,93503,15960,77543,26624,26624,66879,0.9,hit,65536,,13375,20,0
treatment-budget10,18,00:33:28,93937,15960,77977,27648,27648,66289,15.2,miss,0,65536,13265,20,1
treatment-budget10,19,00:34:45,94191,15960,78231,27648,27648,66543,0.8,hit,65536,,13295,20,0
treatment-budget10,20,00:36:02,94578,15960,78618,27648,27648,66930,0.9,hit,65536,,13394,20,0
treatment-budget10,21,00:37:23,94954,15960,78994,27648,27648,67306,1.0,hit,65536,,13450,20,0
treatment-budget10,22,00:38:46,95409,15960,79449,27648,27648,67761,1.2,hit,65536,67584,13553,20,0
control-budget0,1,01:05:18,55001,15952,39049,20480,20480,34521,5.7,miss,0,32768,6905,20,0
control-budget0,2,01:06:17,55962,15952,40010,20480,20480,35482,0.9,hit,32768,34816,7098,20,0
control-budget0,3,01:06:59,89878,15952,73926,20480,20480,69398,10.9,hit,34816,67584,13878,20,0
control-budget0,4,01:08:16,90508,15952,74556,20480,20480,70028,1.4,hit,67584,69632,13996,20,0
control-budget0,5,01:10:12,91871,15952,75919,20480,20480,71391,1.1,hit,69632,,14303,20,0
control-budget0,6,01:12:57,60914,20108,40806,15360,20108,40806,7.2,miss,0,38912,8166,20,0
control-budget0,7,01:14:24,62094,20108,41986,15360,20108,41986,1.1,hit,38912,40960,8386,20,0
control-budget0,8,01:16:10,64411,20108,44303,15360,20108,44303,1.2,hit,40960,43008,8847,20,0
control-budget0,9,01:17:17,64775,20108,44667,15360,20108,44667,0.7,hit,43008,,8955,20,0
control-budget0,10,01:18:35,65485,20108,45377,15360,20108,45377,0.9,hit,43008,45056,9057,20,0
control-budget0,11,01:19:57,66746,20108,46638,15360,20108,46638,0.7,hit,45056,,9326,20,0
control-budget0,12,01:21:07,67295,20108,47187,15360,20108,47187,0.9,hit,45056,47104,9427,20,0
control-budget0,13,01:22:21,68040,20108,47932,15360,20108,47932,0.6,hit,47104,,9596,20,0
reproA-budget0,1,01:24:46,38454,0,38454,0,0,38454,6.6,miss,0,36864,7702,20,0
reproA-budget0,2,01:25:32,39418,0,39418,0,0,39418,0.9,hit,36864,38912,7898,20,0
reproA-budget0,3,01:26:18,40375,0,40375,0,0,40375,0.6,hit,38912,,8087,20,0
reproA-budget0,4,01:27:05,41328,0,41328,0,0,41328,0.9,hit,38912,40960,8272,20,0
reproA-budget0,5,01:27:52,42283,0,42283,0,0,42283,0.6,hit,40960,,8459,20,0
reproA-budget0,6,01:28:40,43238,0,43238,0,0,43238,0.9,hit,40960,43008,8646,20,0
reproB-budget10,1,01:30:20,38454,0,38454,0,0,38454,0.6,hit,36864,,7702,20,0
reproB-budget10,2,01:32:21,39418,0,39418,2048,2048,37370,6.4,miss,0,36864,7482,20,2
reproB-budget10,3,01:34:22,40375,0,40375,4096,4096,36279,6.1,miss,0,34816,7255,20,2
reproB-budget10,4,01:36:10,38454,0,38454,5120,5120,33334,5.4,miss,0,32768,6678,20,1
reproB-budget10,5,01:36:43,39418,0,39418,6144,6144,33274,5.4,miss,0,32768,6650,20,1
reproB-budget10,6,01:37:12,40375,0,40375,6144,6144,34231,0.6,hit,32768,,6839,20,0
reproB-budget10,7,01:37:47,41328,0,41328,7168,7168,34160,5.6,miss,0,32768,6832,20,1
