case,step,prompt_sha,prompt_tokens,cached_tokens,system_end,window_start,position_offset,tokens_to_score,window_sha,first_block_sha,draft_fetch_matched_tokens,draft_hit,draft_restored_tokens,scoring_s,wall_s,stored_len,published_boundary,selected
A-stable-origin,0,5efbc33395afb0ba,40960,0,0,0,0,40960,5efbc33395afb0ba,51628d6b14517800,0,0,0,7.7,8.68,40960,40960,8192
A-stable-origin,1,0277784b9b8132d5,41984,0,0,0,0,41984,0277784b9b8132d5,51628d6b14517800,40960,1,40960,0.5,0.65,41984,41984,8416
B-cached-frontier-moves,0,5efbc33395afb0ba,40960,0,0,0,0,40960,5efbc33395afb0ba,51628d6b14517800,0,0,0,7.0,7.89,40960,40960,8192
B-cached-frontier-moves,1,0277784b9b8132d5,41984,1024,0,1024,1024,40960,d1a4d61d7f6bf8ba,65cf57584ba82c2c,0,0,0,7.0,7.89,40960,40960,8192
C-system-end-moves-origin-fixed,0,5efbc33395afb0ba,40960,30000,16000,30000,30000,10960,34e91a0e6717fbfe,4b1a06ca360ff7b0,0,0,0,1.3,1.55,10960,10240,2192
C-system-end-moves-origin-fixed,1,0277784b9b8132d5,41984,30000,17000,30000,30000,11984,e7991ae8a8a8e31d,4b1a06ca360ff7b0,10752,1,10240,1.1,1.21,11984,,2384
D-system-end-moves-origin,0,5efbc33395afb0ba,40960,15360,15952,15952,15952,25008,0ec2a97f0f170339,8b097dc9789c84e1,0,0,0,4.6,5.12,25008,24576,5008
D-system-end-moves-origin,1,0277784b9b8132d5,41984,15360,20108,20108,20108,21876,aafd49ecfc173148,60b9c501d75c5b99,0,0,0,3.0,3.4,21876,20480,4372
E-history-mutation,0,5efbc33395afb0ba,40960,0,0,0,0,40960,5efbc33395afb0ba,51628d6b14517800,0,0,0,7.0,7.78,40960,40960,8192
E-history-mutation,1,d623d27fe5175240,41984,0,0,0,0,41984,d623d27fe5175240,51628d6b14517800,4864,0,0,7.3,8.05,41984,41984,8416
