model,task,n,accept_pct_median,accept_pct_min,accept_pct_max,tokens_per_cycle_median
Ornith-1.5-35B-A3B,bugfix,75,78.8,0.0,91.7,2.27
Ornith-1.5-35B-A3B,explain,62,78.8,0.0,91.3,2.21
Ornith-1.5-35B-A3B,feature,90,79.0,0.0,91.7,2.27
Ornith-1.5-35B-A3B,micro,16,75.6,66.8,91.9,2.24
Ornith-1.5-35B-A3B,micro-nothink,9,77.8,68.4,80.2,2.38
Ornith-1.5-35B-A3B,root-cause,40,79.6,63.9,88.9,2.28
Qwen3.6-35B-A3B,bugfix,34,88.2,45.5,100.0,2.71
Qwen3.6-35B-A3B,explain,25,88.2,45.5,100.0,2.7
Qwen3.6-35B-A3B,feature,44,89.9,45.5,100.0,2.79
Qwen3.6-35B-A3B,micro,10,88.5,81.8,97.8,2.5
Qwen3.6-35B-A3B,root-cause,26,88.8,53.3,100.0,2.74
