source_dir,model,task,finish,output_tokens,cycles,tokens_per_cycle,accepted,drafted,accept_pct,depth_detail,backbone_ms,mtp_head_ms,sample_ms,cache_ms
orn-S-bugfix,Ornith-1.5-35B-A3B,bugfix,stop,21,9,2.33,11,12,91.7,"d1=6/6,d2=4/5,d3=1/1",158.7,6.8,0.1,0.7
orn-S-bugfix,Ornith-1.5-35B-A3B,bugfix,stop,23,10,2.3,13,16,81.2,"d1=7/7,d2=4/6,d3=2/3",195.5,16.1,0.2,0.5
orn-S-bugfix,Ornith-1.5-35B-A3B,bugfix,parked,24,22,1.09,0,4,0.0,"d1=0/4,d2=0/0,d3=0/0",483.0,6.3,0.2,1.6
orn-S-bugfix,Ornith-1.5-35B-A3B,bugfix,parked,42,27,1.56,13,26,50.0,"d1=12/24,d2=1/1,d3=0/1",664.9,13.1,0.3,2.2
orn-S-bugfix,Ornith-1.5-35B-A3B,bugfix,stop,45,25,1.8,19,26,73.1,"d1=18/22,d2=1/3,d3=0/1",1483.8,16.4,0.4,2.4
orn-S-bugfix,Ornith-1.5-35B-A3B,bugfix,stop,48,24,2.0,22,30,73.3,"d1=20/21,d2=2/8,d3=0/1",534.6,13.4,0.2,1.8
orn-S-bugfix,Ornith-1.5-35B-A3B,bugfix,parked,50,23,2.17,25,30,83.3,"d1=17/19,d2=7/8,d3=1/3",1549.2,33.7,0.5,2.1
orn-S-bugfix,Ornith-1.5-35B-A3B,bugfix,stop,63,27,2.33,34,48,70.8,"d1=22/24,d2=10/22,d3=2/2",712.3,26.9,0.6,2.8
orn-S-bugfix,Ornith-1.5-35B-A3B,bugfix,stop,66,27,2.44,37,46,80.4,"d1=22/24,d2=15/21,d3=0/1",648.2,32.1,0.4,2.0
orn-S-bugfix,Ornith-1.5-35B-A3B,bugfix,stop,70,36,1.94,33,38,86.8,"d1=29/33,d2=2/3,d3=2/2",929.1,16.5,0.4,2.3
orn-S-bugfix,Ornith-1.5-35B-A3B,bugfix,stop,70,27,2.59,43,48,89.6,"d1=23/24,d2=18/22,d3=2/2",823.3,21.6,0.3,1.8
